,zz500
2014-01-06 09:31:00,-123.0
2014-01-06 09:32:00,-1.0
2014-01-06 09:33:00,-1.0
2014-01-06 09:34:00,123.0
2014-01-06 09:35:00,123.0
2014-01-06 09:36:00,123.0
2014-01-06 09:37:00,123.0
2014-01-06 09:38:00,123.0
2014-01-06 09:39:00,123.0
2014-01-06 09:40:00,123.0
2014-01-06 09:41:00,123.0
2014-01-06 09:42:00,123.0
2014-01-06 09:43:00,123.0
2014-01-06 09:44:00,123.0
2014-01-06 09:45:00,123.0
2014-01-06 09:46:00,123.0
2014-01-06 09:47:00,123.0
2014-01-06 09:48:00,123.0
2014-01-06 09:49:00,123.0
2014-01-06 09:50:00,123.0
2014-01-06 09:51:00,123.0
2014-01-06 09:52:00,-1.0
2014-01-06 09:53:00,-1.0
2014-01-06 09:54:00,-124.0
2014-01-06 09:55:00,-124.0
2014-01-06 09:56:00,-124.0
2014-01-06 09:57:00,-124.0
2014-01-06 09:58:00,-1.0
2014-01-06 09:59:00,-1.0
2014-01-06 10:00:00,124.0
2014-01-06 10:01:00,124.0
2014-01-06 10:02:00,123.0
2014-01-06 10:03:00,123.0
2014-01-06 10:04:00,123.0
2014-01-06 10:05:00,123.0
2014-01-06 10:06:00,-1.0
2014-01-06 10:07:00,-1.0
2014-01-06 10:08:00,-124.0
2014-01-06 10:09:00,-124.0
2014-01-06 10:10:00,-124.0
2014-01-06 10:11:00,-124.0
2014-01-06 10:12:00,-124.0
2014-01-06 10:13:00,-124.0
2014-01-06 10:14:00,-2.0
2014-01-06 10:15:00,-2.0
2014-01-06 10:16:00,123.0
2014-01-06 10:17:00,123.0
2014-01-06 10:18:00,123.0
2014-01-06 10:19:00,123.0
2014-01-06 10:20:00,123.0
2014-01-06 10:21:00,123.0
2014-01-06 10:22:00,123.0
2014-01-06 10:23:00,123.0
2014-01-06 10:24:00,123.0
2014-01-06 10:25:00,123.0
2014-01-06 10:26:00,123.0
2014-01-06 10:27:00,123.0
2014-01-06 10:28:00,123.0
2014-01-06 10:29:00,123.0
2014-01-06 10:30:00,123.0
2014-01-06 10:31:00,123.0
2014-01-06 10:32:00,123.0
2014-01-06 10:33:00,123.0
2014-01-06 10:34:00,-1.0
2014-01-06 10:35:00,-1.0
2014-01-06 10:36:00,-124.0
2014-01-06 10:37:00,-124.0
2014-01-06 10:38:00,-124.0
2014-01-06 10:39:00,-124.0
2014-01-06 10:40:00,-124.0
2014-01-06 10:41:00,-124.0
2014-01-06 10:42:00,-124.0
2014-01-06 10:43:00,-124.0
2014-01-06 10:44:00,-124.0
2014-01-06 10:45:00,-124.0
2014-01-06 10:46:00,-124.0
2014-01-06 10:47:00,-124.0
2014-01-06 10:48:00,-2.0
2014-01-06 10:49:00,-2.0
2014-01-06 10:50:00,123.0
2014-01-06 10:51:00,123.0
2014-01-06 10:52:00,123.0
2014-01-06 10:53:00,123.0
2014-01-06 10:54:00,123.0
2014-01-06 10:55:00,123.0
2014-01-06 10:56:00,123.0
2014-01-06 10:57:00,123.0
2014-01-06 10:58:00,0.0
2014-01-06 10:59:00,0.0
2014-01-06 11:00:00,-124.0
2014-01-06 11:01:00,-124.0
2014-01-06 11:02:00,-124.0
2014-01-06 11:03:00,-124.0
2014-01-06 11:04:00,-2.0
2014-01-06 11:05:00,-2.0
2014-01-06 11:06:00,123.0
2014-01-06 11:07:00,123.0
2014-01-06 11:08:00,123.0
2014-01-06 11:09:00,123.0
2014-01-06 11:10:00,123.0
2014-01-06 11:11:00,123.0
2014-01-06 11:12:00,123.0
2014-01-06 11:13:00,123.0
2014-01-06 11:14:00,123.0
2014-01-06 11:15:00,123.0
2014-01-06 11:16:00,0.0
2014-01-06 11:17:00,0.0
2014-01-06 11:18:00,-123.0
2014-01-06 11:19:00,-123.0
2014-01-06 11:20:00,-123.0
2014-01-06 11:21:00,-123.0
2014-01-06 11:22:00,-123.0
2014-01-06 11:23:00,-123.0
2014-01-06 11:24:00,-123.0
2014-01-06 11:25:00,-123.0
2014-01-06 11:26:00,-123.0
2014-01-06 11:27:00,-123.0
2014-01-06 11:28:00,-123.0
2014-01-06 11:29:00,-123.0
2014-01-06 11:30:00,-123.0
2014-01-06 13:01:00,-123.0
2014-01-06 13:02:00,-123.0
2014-01-06 13:03:00,-123.0
2014-01-06 13:04:00,-123.0
2014-01-06 13:05:00,-123.0
2014-01-06 13:06:00,-123.0
2014-01-06 13:07:00,-123.0
2014-01-06 13:08:00,-123.0
2014-01-06 13:09:00,-123.0
2014-01-06 13:10:00,-1.0
2014-01-06 13:11:00,-1.0
2014-01-06 13:12:00,-123.0
2014-01-06 13:13:00,-123.0
2014-01-06 13:14:00,-123.0
2014-01-06 13:15:00,-123.0
2014-01-06 13:16:00,-123.0
2014-01-06 13:17:00,-123.0
2014-01-06 13:18:00,-123.0
2014-01-06 13:19:00,-123.0
