,zz500
2014-01-03 11:28:00,3807.75
2014-01-03 11:29:00,3808.81
2014-01-03 11:30:00,3808.45
2014-01-03 13:01:00,3808.22
2014-01-03 13:02:00,3808.25
2014-01-03 13:03:00,3807.74
2014-01-03 13:04:00,3807.32
2014-01-03 13:05:00,3806.4
2014-01-03 13:06:00,3805.15
2014-01-03 13:07:00,3804.57
2014-01-03 13:08:00,3805.02
2014-01-03 13:09:00,3805.43
2014-01-03 13:10:00,3805.28
2014-01-03 13:11:00,3805.97
2014-01-03 13:12:00,3806.07
2014-01-03 13:13:00,3806.65
2014-01-03 13:14:00,3806.97
2014-01-03 13:15:00,3807.24
2014-01-03 13:16:00,3807.44
2014-01-03 13:17:00,3808.04
2014-01-03 13:18:00,3808.73
2014-01-03 13:19:00,3809.45
2014-01-03 13:20:00,3811.77
2014-01-03 13:21:00,3812.26
2014-01-03 13:22:00,3813.42
2014-01-03 13:23:00,3813.75
2014-01-03 13:24:00,3814.59
2014-01-03 13:25:00,3815.1
2014-01-03 13:26:00,3814.6
2014-01-03 13:27:00,3814.58
2014-01-03 13:28:00,3814.22
2014-01-03 13:29:00,3813.84
2014-01-03 13:30:00,3814.1
2014-01-03 13:31:00,3813.66
2014-01-03 13:32:00,3813.1
2014-01-03 13:33:00,3813.38
2014-01-03 13:34:00,3812.13
2014-01-03 13:35:00,3812.24
2014-01-03 13:36:00,3811.57
2014-01-03 13:37:00,3811.79
2014-01-03 13:38:00,3811.61
2014-01-03 13:39:00,3811.79
2014-01-03 13:40:00,3811.71
2014-01-03 13:41:00,3811.46
2014-01-03 13:42:00,3810.78
2014-01-03 13:43:00,3811.36
2014-01-03 13:44:00,3811.36
2014-01-03 13:45:00,3811.72
2014-01-03 13:46:00,3811.44
2014-01-03 13:47:00,3811.83
2014-01-03 13:48:00,3812.01
2014-01-03 13:49:00,3811.35
2014-01-03 13:50:00,3811.32
2014-01-03 13:51:00,3810.85
2014-01-03 13:52:00,3809.67
2014-01-03 13:53:00,3808.5
2014-01-03 13:54:00,3808.67
2014-01-03 13:55:00,3807.8
2014-01-03 13:56:00,3807.91
2014-01-03 13:57:00,3809.55
2014-01-03 13:58:00,3810.68
2014-01-03 13:59:00,3811.51
2014-01-03 14:00:00,3812.39
2014-01-03 14:01:00,3813.35
2014-01-03 14:02:00,3813.81
2014-01-03 14:03:00,3813.76
2014-01-03 14:04:00,3814.46
2014-01-03 14:05:00,3814.37
2014-01-03 14:06:00,3814.95
2014-01-03 14:07:00,3813.8
2014-01-03 14:08:00,3814.17
2014-01-03 14:09:00,3812.57
2014-01-03 14:10:00,3813.47
2014-01-03 14:11:00,3812.77
2014-01-03 14:12:00,3813.95
2014-01-03 14:13:00,3815.68
2014-01-03 14:14:00,3816.99
2014-01-03 14:15:00,3817.57
2014-01-03 14:16:00,3818.07
2014-01-03 14:17:00,3819.19
2014-01-03 14:18:00,3819.14
2014-01-03 14:19:00,3820.06
2014-01-03 14:20:00,3819.69
2014-01-03 14:21:00,3819.43
2014-01-03 14:22:00,3819.07
2014-01-03 14:23:00,3818.64
2014-01-03 14:24:00,3818.5
2014-01-03 14:25:00,3818.17
2014-01-03 14:26:00,3817.52
2014-01-03 14:27:00,3816.69
2014-01-03 14:28:00,3816.24
2014-01-03 14:29:00,3816.86
2014-01-03 14:30:00,3816.89
2014-01-03 14:31:00,3816.97
2014-01-03 14:32:00,3818.73
2014-01-03 14:33:00,3819.68
2014-01-03 14:34:00,3819.84
2014-01-03 14:35:00,3820.63
2014-01-03 14:36:00,3820.36
2014-01-03 14:37:00,3820.98
2014-01-03 14:38:00,3820.49
2014-01-03 14:39:00,3819.32
2014-01-03 14:40:00,3818.24
2014-01-03 14:41:00,3817.9
2014-01-03 14:42:00,3816.9
2014-01-03 14:43:00,3816.51
2014-01-03 14:44:00,3817.27
2014-01-03 14:45:00,3816.62
2014-01-03 14:46:00,3816.22
2014-01-03 14:47:00,3815.99
2014-01-03 14:48:00,3815.62
2014-01-03 14:49:00,3815.2
2014-01-03 14:50:00,3814.86
2014-01-03 14:51:00,3814.52
2014-01-03 14:52:00,3814.89
2014-01-03 14:53:00,3815.39
2014-01-03 14:54:00,3815.63
2014-01-03 14:55:00,3815.68
2014-01-03 14:56:00,3815.48
2014-01-03 14:57:00,3815.49
2014-01-03 14:58:00,3815.74
2014-01-03 14:59:00,3816.12
2014-01-03 15:00:00,3816.32
2014-01-06 09:31:00,3796.31
2014-01-06 09:32:00,3790.89
2014-01-06 09:33:00,3789.66
2014-01-06 09:34:00,3787.1
