,nav,order num,trade_cost,trade_volume,cash,ret,cum_ret,draw_down,turnover
2014-01-02 11:20:00,98587159.894,1.0,0.0,0.0,49413651.893999994,1.3084953874225303e-05,-0.014229157058191536,-0.014128401060000018,0.0
2014-01-02 11:21:00,98587159.894,0.0,0.0,0.0,49413651.893999994,0.0,-0.014229157058191536,-0.014128401060000018,0.0
2014-01-02 11:22:00,98578903.894,1.0,0.0,0.0,49413651.893999994,-8.374666356078377e-05,-0.01431290372175232,-0.014210961060000082,0.0
2014-01-02 11:23:00,98580580.894,0.0,0.0,0.0,49413651.893999994,1.701160866642443e-05,-0.014295892113085896,-0.014194191060000083,0.0
2014-01-02 11:24:00,98581870.894,1.0,0.0,0.0,49413651.893999994,1.3085655897693282e-05,-0.014282806457188203,-0.0141812910600001,0.0
2014-01-02 11:25:00,98580967.894,0.0,0.0,0.0,49413651.893999994,-9.159941148719716e-06,-0.014291966398336922,-0.014190321060000066,0.0
2014-01-02 11:26:00,98593480.894,1.0,0.0,0.0,49413651.893999994,0.00012692313931855634,-0.014165043259018366,-0.014065191060000037,0.0
2014-01-02 11:27:00,98599930.894,0.0,0.0,0.0,49413651.893999994,6.541800706035213e-05,-0.014099625251958015,-0.014000691060000015,0.0
2014-01-02 11:28:00,98611411.894,1.0,0.0,0.0,49413651.893999994,0.00011643346524257858,-0.013983191786715437,-0.013885881060000105,0.0
2014-01-02 11:29:00,98609734.894,0.0,0.0,0.0,49413651.893999994,-1.7006289917211213e-05,-0.014000198076632648,-0.013902651060000104,0.0
2014-01-02 11:30:00,98505273.96599999,1.0,98268.928,49232732.928,98449846.96599999,-0.0010598983647495841,-0.015060096441382233,-0.014947260340000046,0.4997979391945363
2014-01-02 13:01:00,98505238.96599999,0.0,0.0,0.0,98449846.96599999,-3.553109880273145e-07,-0.01506045175237026,-0.01494761034000014,0.0
2014-01-02 13:02:00,98406161.83199999,1.0,99052.134,49625119.133999996,49264017.83199999,-0.0010063118941764598,-0.01606676364654672,-0.01593838168000017,0.5042887377186859
2014-01-02 13:03:00,98399377.83199999,0.0,0.0,0.0,49264017.83199999,-6.894114885455549e-05,-0.016135704795401277,-0.0160062216800001,0.0
2014-01-02 13:04:00,98298168.99999999,1.0,98264.832,49230680.831999995,98298168.99999999,-0.001029080866150137,-0.017164785661551413,-0.017018310000000203,0.5008300900497954
2014-01-02 13:05:00,98298168.99999999,0.0,0.0,0.0,98298168.99999999,0.0,-0.017164785661551413,-0.017018310000000203,0.0
2014-01-02 13:06:00,98199132.08799998,1.0,99036.91200000001,49617492.912,48680676.087999985,-0.0010080232129161266,-0.01817280887446754,-0.01800867912000015,0.505274250973378
2014-01-02 13:07:00,98199132.08799998,0.0,0.0,0.0,48680676.087999985,0.0,-0.01817280887446754,-0.01800867912000015,0.0
2014-01-02 13:08:00,98195139.30999999,1.0,767.778,384656.778,49063797.30999999,-4.066083977015354e-05,-0.018213469714237693,-0.018048606900000097,0.003917269028822767
2014-01-02 13:09:00,98194883.30999999,0.0,0.0,0.0,49063797.30999999,-2.607057085524008e-06,-0.01821607677132322,-0.018051166900000082,0.0
2014-01-02 13:10:00,98188099.30999999,1.0,0.0,0.0,49063797.30999999,-6.908948944752942e-05,-0.018285166260770747,-0.018119006900000123,0.0
2014-01-02 13:11:00,98192451.30999999,0.0,0.0,0.0,49063797.30999999,4.4322108141236e-05,-0.018240844152629512,-0.01807548690000016,0.0
2014-01-02 13:12:00,98187843.30999999,1.0,0.0,0.0,49063797.30999999,-4.6929352150776805e-05,-0.01828777350478029,-0.018121566900000108,0.0
2014-01-02 13:13:00,98195523.30999999,0.0,0.0,0.0,49063797.30999999,7.82143634269337e-05,-0.018209559141353356,-0.01804476690000012,0.0
2014-01-02 13:14:00,98205123.30999999,1.0,0.0,0.0,49063797.30999999,9.775935235310051e-05,-0.018111799789000255,-0.017948766900000135,0.0
2014-01-02 13:15:00,98205891.30999997,0.0,0.0,0.0,49063797.30999999,7.820335345935528e-06,-0.018103979453654318,-0.01794108690000029,0.0
2014-01-02 13:16:00,98211011.30999999,1.0,0.0,0.0,49063797.30999999,5.21340061152548e-05,-0.018051845447539062,-0.01788988690000015,0.0
2014-01-02 13:17:00,98224323.30999999,0.0,0.0,0.0,49063797.30999999,0.00013553569724231808,-0.017916309750296743,-0.017756766900000165,0.0
2014-01-02 13:18:00,98143674.68999998,1.0,97416.62000000001,48805726.620000005,97674690.69,-0.0008214029307819559,-0.0187377126810787,-0.018563253100000177,0.49728855959550594
2014-01-02 13:19:00,98143790.68999998,0.0,0.0,0.0,97674690.69,1.1819399652945361e-06,-0.018736530741113405,-0.01856209310000012,0.0
2014-01-02 13:20:00,98045601.53799999,1.0,98161.152,49178737.151999995,49348467.53799999,-0.0010009629887030695,-0.019737493729816473,-0.019543984620000177,0.5015904475117078
2014-01-02 13:21:00,98045728.53799999,0.0,0.0,0.0,49348467.53799999,1.295314789837056e-06,-0.019736198415026635,-0.019542714620000123,0.0
2014-01-02 13:22:00,98047887.53799999,1.0,0.0,0.0,49348467.53799999,2.2020094720964297e-05,-0.01971417832030567,-0.019521124620000108,0.0
2014-01-02 13:23:00,98058174.53799999,0.0,0.0,0.0,49348467.53799999,0.00010491261616829102,-0.019609265704137378,-0.01941825462000013,0.0
2014-01-02 13:24:00,98066937.53799999,1.0,0.0,0.0,49348467.53799999,8.936132566680806e-05,-0.01951990437847057,-0.019330624620000125,0.0
2014-01-02 13:25:00,98067318.53799999,0.0,0.0,0.0,49348467.53799999,3.885093890463757e-06,-0.019516019284580105,-0.019326814620000077,0.0
2014-01-02 13:26:00,97964931.058,1.0,98196.48000000001,49196436.480000004,97581351.058,-0.001044598422160776,-0.02056061770674088,-0.020350689420000068,0.5021841586442124
2014-01-02 13:27:00,97964934.058,0.0,0.0,0.0,97581351.058,3.062320283759987e-08,-0.020560587083538043,-0.020350659420000028,0.0
2014-01-02 13:28:00,97867566.94599998,1.0,97416.112,48805472.112,48775878.945999995,-0.000994391835104,-0.021554978918642043,-0.021324330540000158,0.4986889286716325
2014-01-02 13:29:00,97879086.946,0.0,0.0,0.0,48775878.945999995,0.0001177031615536324,-0.02143727575708841,-0.021209130540000065,0.0
2014-01-02 13:30:00,97882542.946,1.0,0.0,0.0,48775878.945999995,3.5308247098848024e-05,-0.021401967509989562,-0.02117457054000005,0.0
2014-01-02 13:31:00,97880878.946,0.0,0.0,0.0,48775878.945999995,-1.7000111501518393e-05,-0.02141896762149108,-0.02119121054000006,0.0
2014-01-02 13:32:00,97870638.946,1.0,0.0,0.0,48775878.945999995,-0.0001046224327618093,-0.02152359005425289,-0.021293610540000008,0.0
2014-01-02 13:33:00,97869742.946,0.0,0.0,0.0,48775878.945999995,-9.15498367119054e-06,-0.02153274503792408,-0.021302570540000065,0.0
2014-01-02 13:34:00,97780921.546,1.0,96629.4,48411329.4,96993949.546,-0.0009079591560046142,-0.022440704193928695,-0.022190784540000008,0.49509995032339105
2014-01-02 13:35:00,97780969.546,0.0,0.0,0.0,96993949.546,4.908931870706127e-07,-0.022440213300741623,-0.022190304539999928,0.0
2014-01-02 13:36:00,97684607.426,1.0,96594.12,48393654.12,48600295.42600001,-0.0009859754264590795,-0.023426188727200703,-0.02315392573999997,0.49540716183621997
2014-01-02 13:37:00,97700735.426,0.0,0.0,0.0,48600295.42600001,0.00016508914948495105,-0.02326109957771575,-0.02299264574000004,0.0
2014-01-02 13:38:00,97706623.426,1.0,0.0,0.0,48600295.42600001,6.026385123232437e-05,-0.023200835726483425,-0.022933765740000056,0.0
2014-01-02 13:39:00,97706367.426,0.0,0.0,0.0,48600295.42600001,-2.6200919282683668e-06,-0.023203455818411694,-0.02293632574000004,0.0
2014-01-02 13:40:00,97600325.498,1.0,96569.928,48381533.927999996,96788689.498,-0.0010859017357024213,-0.024289357554114117,-0.023996745020000043,0.4957107845812606
2014-01-02 13:41:00,97600191.498,0.0,0.0,0.0,96788689.498,-1.3729471834099908e-06,-0.024290730501297528,-0.023998085020000004,0.0
2014-01-02 13:42:00,97501180.81,1.0,98900.68800000001,49549244.688,48817508.809999995,-0.0010149666845336465,-0.025305697185831175,-0.024988191900000012,0.5081912267765898
2014-01-02 13:43:00,97510324.81,0.0,0.0,0.0,48817508.809999995,9.377908218929745e-05,-0.02521191810364188,-0.024896751899999958,0.0
2014-01-02 13:44:00,97406855.37,1.0,97373.44,48784093.440000005,97406855.37,-0.0010616760372102595,-0.02627359414085214,-0.025931446299999994,0.5008281322160909
2014-01-02 13:45:00,97406855.37,0.0,0.0,0.0,97406855.37,0.0,-0.02627359414085214,-0.025931446299999994,0.0
2014-01-02 13:46:00,97309428.59,1.0,97426.78,48810816.779999994,48596038.59,-0.001000705088952531,-0.02727429922980467,-0.026905714099999978,0.5016041866370186
2014-01-02 13:47:00,97309047.59,0.0,0.0,0.0,48596038.59,-3.9153528224075025e-06,-0.027278214582627077,-0.026909524099999915,0.0
